tabphyname,idxphyname,idxcolsequence,colphyname
mdstatrshipdet,PK_mdstatrshipdet,1,ltabphyname
mdstatrshipdet,PK_mdstatrshipdet,2,rtabphyname
mdstatrshipdet,PK_mdstatrshipdet,3,relationshipname
mdstatrshipdet,PK_mdstatrshipdet,4,ltabcolphyname
mdstatrshipdet,PK_mdstatrshipdet,5,rtabcolphyname
mdstatrshipmas,DI_mdstatrshipmas_4566,1,ltabphyname
mdstatrshipmas,DI_mdstatrshipmas_4567,1,rtabphyname
mdstatrshipmas,PK_mdstatrshipmas,1,ltabphyname
mdstatrshipmas,PK_mdstatrshipmas,2,rtabphyname
mdstatrshipmas,PK_mdstatrshipmas,3,relationshipname
mdstattabcols,DI_mdstattabcols_4559,1,tabphyname
mdstattabcols,DI_mdstattabcols_7685,1,domainname
mdstattabcols,PK_mdstattabcols,1,tabphyname
mdstattabcols,PK_mdstattabcols,2,colsequence
mdstattabcols,UC_mdstattabcols_4547,1,tabphyname
mdstattabcols,UC_mdstattabcols_4547,2,colphyname
mdstattabcols,UC_mdstattabcols_4563,1,tabphyname
mdstattabcols,UC_mdstattabcols_4563,2,collogname
mdstattabcols,UC_mdstattabcols_7665,1,tabphyname
mdstattabcols,UC_mdstattabcols_7665,2,collabel
mdstattabs,PK_mdstattabs,1,tabphyname
mdstattabs,UC_mdstattabs_4560,1,tablabel
mdstattabs,UC_mdstattabs_7594,1,iefilename
mdstattabs,UC_mdstattabs_7664,1,tablogname
month,PK_month,1,monthname
month,UC_month_12296,1,monthseq
muaggatt,PK_muaggatt,1,mukey
muaoverlap,DI_muaoverlap_158,1,lareaovkey
muaoverlap,DI_muaoverlap_29,1,mukey
muaoverlap,PK_muaoverlap,1,muareaovkey
mucropyld,DI_mucropyld_7580,1,mukey
mucropyld,PK_mucropyld,1,mucrpyldkey
mutext,DI_mutext_149,1,mukey
mutext,PK_mutext,1,mutextkey
sacatalog,PK_sacatalog,1,sacatalogkey
sacatalog,UC_sacatalog_12252,1,areasymbol
sainterp,DI_sainterp_12255,1,sacatalogkey
sainterp,PK_sainterp,1,sainterpkey
sainterp,UC_sainterp_12254,1,areasymbol
sainterp,UC_sainterp_12254,2,interpname
sdvalgorithm,PK_sdvalgorithm,1,algorithmname
sdvalgorithm,UC_sdvalgorithm_12263,1,algorithmsequence
sdvalgorithm,UC_sdvalgorithm_13204,1,algorithminitials
sdvattribute,PK_sdvattribute,1,attributekey
sdvattribute,UC_sdvattribute_12301,1,attributename
sdvattribute,UC_sdvattribute_12302,1,resultcolumnname
sdvfolder,PK_sdvfolder,1,folderkey
sdvfolderattribute,DI_sdvfolderattribute_12581,1,folderkey
sdvfolderattribute,DI_sdvfolderattribute_12582,1,attributekey
sdvfolderattribute,PK_sdvfolderattribute,1,folderkey
sdvfolderattribute,PK_sdvfolderattribute,2,attributekey
