fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
10,17,23,,5,40,75,,,,42894405,73501862
0,2,3,,75,162,250,,,,42894405,73501863
0,2,3,,250,625,1000,,,,42894405,73501864
0,7,14,,2,4,5,,,,42894406,73501865
20,29,37,,5,40,75,,,,42894406,73501866
0,3,6,,75,162,250,,,,42894406,73501867
0,3,6,,250,625,1000,,,,42894406,73501868
0,2,3,,2,4,5,,,,42894408,73501869
0,2,3,,5,40,75,,,,42894408,73501870
NA,NA,NA,,5,40,75,,,,42894409,73501871
0,2,3,,2,4,5,,,,42894412,73501879
0,2,3,,5,40,75,,,,42894412,73501880
0,3,6,,2,4,5,,,,42894413,73501881
0,2,3,,5,40,75,,,,42894413,73501882
0,3,6,,2,4,5,,,,42894414,73501883
0,2,3,,5,40,75,,,,42894414,73501884
0,2,3,,2,4,5,,,,42894415,73501885
0,2,3,,5,40,75,,,,42894415,73501886
0,2,3,,2,4,5,,,,42894416,73501887
0,2,3,,5,40,75,,,,42894416,73501888
0,6,11,,2,4,5,,,,42894417,73501889
0,4,9,,5,40,75,,,,42894417,73501890
0,2,6,,75,162,250,,,,42894417,73501891
0,2,6,,250,625,1000,,,,42894417,73501892
0,6,11,,2,4,5,,,,42894418,73501893
0,4,9,,5,40,75,,,,42894418,73501894
0,2,6,,75,162,250,,,,42894418,73501895
0,2,6,,250,625,1000,,,,42894418,73501896
0,6,11,,2,4,5,,,,42894419,73501897
0,4,9,,5,40,75,,,,42894419,73501898
0,2,6,,75,162,250,,,,42894419,73501899
0,2,6,,250,625,1000,,,,42894419,73501900
NA,NA,NA,,5,40,75,,,,42894420,73501901
0,6,11,,2,4,5,,,,42894458,73501978
0,5,9,,5,40,75,,,,42894458,73501979
0,6,11,,2,4,5,,,,42894459,73501980
0,5,9,,5,40,75,,,,42894459,73501981
0,3,6,,75,162,250,,,,42894459,73501982
NA,NA,NA,,5,40,75,,,,42894460,73501983
0,9,17,,2,4,5,,,,42894461,73501984
7,15,23,,5,40,75,,,,42894461,73501985
0,3,6,,75,162,250,,,,42894461,73501986
0,2,3,,250,625,1000,,,,42894461,73501987
0,0,5,Mixed rock fragments,2,3,5,Nonflat,Subrounded,Indurated,42894464,73501988
0,0,5,Arkose fragments,2,3,5,Nonflat,Subangular,Moderately cemented,42894465,73501989
0,0,5,Arkose fragments,2,3,5,Nonflat,Subangular,Moderately cemented,42894466,73501990
0,0,5,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,42894469,73501991
0,0,5,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,42894470,73501992
0,0,5,Mixed rock fragments,2,3,5,Nonflat,Subrounded,Indurated,42894474,73501993
0,0,5,Mixed rock fragments,2,3,5,Nonflat,Subrounded,Indurated,42894475,73501994
0,0,5,Mixed rock fragments,2,3,5,Nonflat,Subrounded,Indurated,42894476,73501995
0,6,11,,2,4,5,,,,42894485,73502008
0,5,9,,5,40,75,,,,42894485,73502009
0,3,6,,75,162,250,,,,42894486,73502010
NA,NA,NA,,5,40,75,,,,42894487,73502011
NA,NA,NA,,5,40,75,,,,42894488,73502012
NA,NA,NA,,5,40,75,,,,42894489,73502013
0,7,14,,2,4,5,,,,42894505,73502033
10,17,23,,5,40,75,,,,42894505,73502034
0,3,6,,75,162,250,,,,42894505,73502035
0,7,14,,2,4,5,,,,42894506,73502036
10,17,23,,5,40,75,,,,42894506,73502037
0,3,6,,75,162,250,,,,42894506,73502038
0,7,14,,2,4,5,,,,42894507,73502039
20,29,37,,5,40,75,,,,42894507,73502040
0,3,6,,75,162,250,,,,42894507,73502041
0,3,6,,250,625,1000,,,,42894507,73502042
0,7,13,,2,4,5,,,,42894508,73502043
13,23,33,,5,40,75,,,,42894508,73502044
6,10,14,,75,162,250,,,,42894508,73502045
0,7,14,,250,625,1000,,,,42894508,73502046
0,5,10,,2,4,5,,,,42894509,73502047
18,30,41,,5,40,75,,,,42894509,73502048
9,13,17,,75,162,250,,,,42894509,73502049
0,7,14,,250,625,1000,,,,42894509,73502050
0,5,10,,2,4,5,,,,42894510,73502051
16,29,41,,5,40,75,,,,42894510,73502052
9,15,20,,75,162,250,,,,42894510,73502053
0,7,14,,250,625,1000,,,,42894510,73502054
0,8,16,,2,4,5,,,,42894511,73502055
1,12,22,,5,40,75,,,,42894511,73502056
0,9,17,,75,162,250,,,,42894511,73502057
17,26,34,,250,625,1000,,,,42894511,73502058
0,6,11,,2,4,5,,,,42894528,73502096
0,5,9,,5,40,75,,,,42894528,73502097
0,3,6,,75,162,250,,,,42894528,73502098
0,6,11,,2,4,5,,,,42894529,73502099
0,4,9,,5,40,75,,,,42894529,73502100
0,4,9,,75,162,250,,,,42894529,73502101
0,6,11,,2,4,5,,,,42894530,73502102
0,4,9,,5,40,75,,,,42894530,73502103
0,4,9,,75,162,250,,,,42894530,73502104
0,6,11,,2,4,5,,,,42894531,73502105
0,5,9,,5,40,75,,,,42894531,73502106
0,2,3,,75,162,250,,,,42894531,73502107
NA,NA,NA,,5,40,75,,,,42894532,73502108
0,6,11,,2,4,5,,,,42894533,73502109
0,5,9,,5,40,75,,,,42894533,73502110
0,3,6,,75,162,250,,,,42894533,73502111
0,6,11,,2,4,5,,,,42894534,73502112
0,4,9,,5,40,75,,,,42894534,73502113
