areatypename,areasymbol,areaname,areaacres,mlraoffice,legenddesc,ssastatus,mouagncyresp,projectscale,cordate,ssurgoarchived,legendsuituse,legendcertstat,lkey
Non-MLRA Soil Survey Area,CO625,"El Paso County Area, Colorado",1239700,"Bozeman, MT",Detailed Soil Map Legend,NA,Natural Resources Conservation Service,24000,NA,NA,NA,NA,10662
Non-MLRA Soil Survey Area,CO640,"Pike National Forest, Eastern Part, Colorado, Parts of Douglas, El Paso, Jefferson, and Teller Counties",460200,"Bozeman, MT",Detailed Soil Map Legend,NA,US Forest Service,24000,NA,NA,NA,NA,14374
