unifiedcl,rvindicator,chkey,chunifiedkey
SM,Yes,42894602,80855715
CL,Yes,42894611,80855730
CL,Yes,42894612,80855731
CL,Yes,42894613,80855732
CL,No ,42894614,80855733
SC,Yes,42894614,80855734
CL,Yes,42894615,80855735
GC-GM,No ,42894644,80855764
SC-SM,No ,42894644,80855765
GC,Yes,42894644,80855766
GC-GM,No ,42894645,80855767
GM,Yes,42894645,80855768
CL-ML,No ,42894648,80855769
GC-GM,Yes,42894648,80855770
GM,No ,42894648,80855771
ML,No ,42894648,80855772
GM,Yes,42894649,80855773
ML,No ,42894649,80855774
SM,No ,42894649,80855775
CL,Yes,42894651,80855776
CL-ML,No ,42894651,80855777
CL,Yes,42894652,80855778
CL-ML,No ,42894652,80855779
GP,No ,42894688,80855852
GW,Yes,42894688,80855853
GP,Yes,42894689,80855854
GW,No ,42894689,80855855
SP,No ,42894689,80855856
SW,No ,42894689,80855857
CL,Yes,42894694,80855868
CH,Yes,42894695,80855869
CL,No ,42894695,80855870
CH,Yes,42894696,80855871
CL,No ,42894696,80855872
MH,No ,42894696,80855873
CL,Yes,42894698,80855874
CL,Yes,42894699,80855875
CH,Yes,42894700,80855876
CL,No ,42894700,80855877
CL,Yes,42894702,80855878
CL,Yes,42894703,80855879
CH,Yes,42894704,80855880
CL,No ,42894704,80855881
CL,Yes,42894706,80855882
CL,Yes,42894707,80855883
CL,Yes,42894722,80855910
CL-ML,No ,42894722,80855911
CL,Yes,42894723,80855912
CL-ML,No ,42894723,80855913
SC,No ,42894723,80855914
CL-ML,No ,42894724,80855915
ML,No ,42894724,80855916
SC-SM,Yes,42894724,80855917
SM,No ,42894724,80855918
SM,Yes,42894728,80855925
SM,Yes,42894729,80855926
SM,Yes,42894730,80855927
SP-SM,No ,42894730,80855928
SW-SM,No ,42894730,80855929
CL,Yes,42894731,80855930
CL,No ,42894732,80855931
CL-ML,Yes,42894732,80855932
ML,No ,42894732,80855933
CL,Yes,42894733,80855934
CL-ML,No ,42894733,80855935
GC,Yes,42894739,80855946
GC-GM,No ,42894739,80855947
SC,No ,42894739,80855948
SC-SM,No ,42894739,80855949
GC-GM,No ,42894740,80855950
GM,Yes,42894740,80855951
GW-GM,No ,42894740,80855952
GP,No ,42894741,80855953
GP-GM,Yes,42894741,80855954
GW-GM,No ,42894741,80855955
CL,Yes,42894742,80855956
CH,Yes,42894743,80855957
CL,No ,42894743,80855958
CH,Yes,42894744,80855959
CL,No ,42894744,80855960
MH,No ,42894744,80855961
SC,Yes,42894746,80855962
SC-SM,No ,42894746,80855963
SC,Yes,42894747,80855964
SC-SM,No ,42894747,80855965
SC-SM,No ,42894748,80855966
SM,Yes,42894748,80855967
SP-SM,No ,42894748,80855968
SC,Yes,42894749,80855969
SC-SM,No ,42894749,80855970
SC,Yes,42894750,80855971
SC-SM,No ,42894750,80855972
SC-SM,No ,42894751,80855973
SM,Yes,42894751,80855974
SP-SM,No ,42894751,80855975
SC,Yes,42894752,80855976
SC-SM,No ,42894752,80855977
SC,Yes,42894753,80855978
SC-SM,No ,42894753,80855979
SC-SM,No ,42894754,80855980
SM,Yes,42894754,80855981
SP-SM,No ,42894754,80855982
CL,No ,42894755,80855983
SC,Yes,42894755,80855984
SC-SM,No ,42894755,80855985
SC-SM,No ,42894756,80855986
SC,Yes,42894756,80855987
SC,Yes,42894758,80855988
SC-SM,No ,42894758,80855989
SC,Yes,42894811,80856087
SC-SM,No ,42894811,80856088
SC,Yes,42894812,80856089
SC-SM,No ,42894812,80856090
SM,Yes,42894815,80856091
SC-SM,No ,42894816,80856092
SM,Yes,42894816,80856093
SC-SM,No ,42894817,80856094
SM,Yes,42894817,80856095
SP-SM,No ,42894817,80856096
SC-SM,No ,42894818,80856097
SM,Yes,42894818,80856098
SC-SM,No ,42894819,80856099
SM,Yes,42894819,80856100
SM,Yes,42894820,80856101
SP-SM,No ,42894820,80856102
SC-SM,No ,42894820,80856103
SM,Yes,42894821,80856104
SC,Yes,42894822,80856105
SC,Yes,42894823,80856106
SC,Yes,42894824,80856107
SC-SM,Yes,42894825,80856108
SC-SM,Yes,42894826,80856109
SC,Yes,42894827,80856110
SC,Yes,42894828,80856111
SC,Yes,42894829,80856112
SM,Yes,42894830,80856113
SM,Yes,42894831,80856114
SP-SM,Yes,42894832,80856115
CL,Yes,42894960,80856279
CL,Yes,42894961,80856280
CL,Yes,42894962,80856281
CL,Yes,42894963,80856282
SC-SM,No ,42894964,80856283
SC,Yes,42894964,80856284
CL,Yes,42894965,80856285
CL,Yes,42894966,80856286
CL,Yes,42894967,80856287
CL,Yes,42894968,80856288
CL,Yes,42894969,80856289
CL,Yes,42894970,80856290
SC,Yes,42894971,80856291
SC,Yes,42894972,80856292
CL,Yes,42894987,80856312
CL,Yes,42894988,80856313
CL,Yes,42894989,80856314
CL,Yes,42894990,80856315
CL,Yes,42894991,80856316
SC-SM,Yes,42894992,80856317
SC-SM,No ,42894993,80856318
SC,Yes,42894993,80856319
SC-SM,No ,42894994,80856320
SC,Yes,42894994,80856321
SM,Yes,42894995,80856322
,No ,42894996,80856323
CL,Yes,42894996,80856324
CL,Yes,42894997,80856325
CL,Yes,42894998,80856326
CL,Yes,42894999,80856327
SC,No ,42894999,80856328
CL,Yes,42895000,80856329
,No ,42895000,80856330
CL,Yes,42895001,80856331
SC,Yes,42895002,80856332
SC-SM,No ,42895002,80856333
CL,Yes,42895003,80856334
CL,Yes,42895004,80856335
CL,Yes,42895005,80856336
SC,No ,42895005,80856337
SC-SM,No ,42895006,80856338
SC,Yes,42895006,80856339
CH,Yes,42895007,80856340
CH,Yes,42895008,80856341
CH,Yes,42895009,80856342
CL,Yes,42895010,80856343
CL,Yes,42895011,80856344
CL,Yes,42895012,80856345
SC,Yes,42895013,80856346
CL,Yes,42895014,80856347
CL,Yes,42895015,80856348
CL,Yes,42895016,80856349
CL,Yes,42895017,80856350
CL,Yes,42895018,80856351
SC-SM,Yes,42895019,80856352
SC,Yes,42895020,80856353
CL,Yes,42895021,80856354
CL,Yes,42895022,80856355
CL,Yes,42895023,80856356
CL,Yes,42895024,80856357
CH,Yes,42895025,80856358
CL,Yes,42895026,80856359
CL,Yes,42895027,80856360
CL,Yes,42895028,80856361
CL,Yes,42895029,80856362
CL,Yes,42895030,80856363
CL,Yes,42895031,80856364
CL,Yes,42895032,80856365
CL,Yes,42895033,80856366
CL,Yes,42895034,80856367
CL,Yes,42895035,80856368
CL,Yes,42895036,80856369
CL,Yes,42895037,80856370
CL,Yes,42895038,80856371
SC,Yes,42895039,80856372
SC-SM,No ,42895039,80856373
CH,Yes,42895040,80856374
CH,Yes,42895041,80856375
CH,Yes,42895042,80856376
CL,Yes,45496131,85730845
CL,Yes,45496132,85730846
CH,No ,45496132,85730847
CL,Yes,45496133,85730848
CH,No ,45496133,85730849
CL,Yes,45496134,85730850
CH,No ,45496134,85730851
CL,Yes,45496135,85730852
CH,No ,45496135,85730853
SC-SM,Yes,45496137,85730854
SM,No ,45496137,85730855
GC-GM,Yes,45496138,85730856
GM,No ,45496138,85730857
CL,Yes,45496139,85730858
CH,No ,45496139,85730859
CL,Yes,45496141,85730860
CH,No ,45496141,85730861
CL,Yes,45496142,85730862
CH,No ,45496142,85730863
CL,Yes,45496143,85730864
SM,No ,45496179,85730920
SC-SM,Yes,45496179,85730921
GC-GM,Yes,45496180,85730922
GM,No ,45496180,85730923
SC-SM,Yes,45496182,85730924
SM,No ,45496182,85730925
GC-GM,Yes,45496183,85730926
GM,No ,45496183,85730927
SC-SM,Yes,45496201,85730955
SM,No ,45496201,85730956
GC-GM,Yes,45496203,85730957
GM,No ,45496203,85730958
CL,Yes,45496205,85730959
CL,Yes,45496206,85730960
SC-SM,Yes,45496209,85730961
SM,No ,45496209,85730962
GC-GM,Yes,45496210,85730963
GM,No ,45496210,85730964
PT,Yes,45496225,85730983
GM,No ,45496227,85730984
SM,Yes,45496227,85730985
GM,No ,45496228,85730986
GP-GM,Yes,45496228,85730987
GM,Yes,45496229,85730988
GP-GM,No ,45496229,85730989
SP-SM,No ,45496229,85730990
SM,No ,45496229,85730991
GM,Yes,45496230,85730992
GP-GM,No ,45496230,85730993
SP-SM,No ,45496230,85730994
SM,No ,45496230,85730995
GW-GM,Yes,45496231,85730996
SC-SM,No ,45496231,85730997
PT,Yes,45496234,85730998
GM,No ,45496236,85730999
SM,Yes,45496236,85731000
GM,No ,45496237,85731001
GP-GM,Yes,45496237,85731002
GC-GM,Yes,45496238,85731003
GC,Yes,45496239,85731004
GC,Yes,45496240,85731005
PT,Yes,45496241,85731006
GC-GM,Yes,45496243,85731007
PT,Yes,45496245,85731008
SM,Yes,45496247,85731009
GM,Yes,45496248,85731010
GP-GM,No ,45496248,85731011
GP,No ,45496248,85731012
SM,Yes,45496249,85731013
PT,Yes,45496250,85731014
GM,No ,45496252,85731015
GP-GM,Yes,45496252,85731016
GM,No ,45496253,85731017
SM,Yes,45496253,85731018
GM,Yes,45496254,85731019
GM,Yes,45496256,85731020
GM,Yes,45496257,85731021
SC,No ,45496262,85731025
SM,Yes,45496262,85731026
GM,No ,45496262,85731027
GC,No ,45496262,85731028
SM,No ,45496263,85731029
GM,Yes,45496263,85731030
PT,Yes,45496265,85731031
SM,Yes,45496266,85731032
SM,Yes,45496267,85731033
SM,Yes,45496270,85731034
GM,Yes,45496271,85731035
GP-GM,No ,45496271,85731036
SM,No ,45496271,85731037
SP-SM,No ,45496271,85731038
PT,Yes,45496272,85731039
SM,Yes,45496273,85731040
GM,Yes,45496275,85731041
GP-GM,No ,45496275,85731042
GP,No ,45496275,85731043
SM,Yes,45496276,85731044
GM,Yes,45496391,85731213
GP-GM,No ,45496391,85731214
SP-SM,No ,45496391,85731215
SM,No ,45496391,85731216
GW-GM,Yes,45496392,85731217
SC-SM,No ,45496392,85731218
GM,Yes,45496394,85731219
GP-GM,No ,45496394,85731220
SP-SM,No ,45496394,85731221
SM,No ,45496394,85731222
PT,Yes,45496395,85731223
GM,No ,45496397,85731224
SM,Yes,45496397,85731225
GM,No ,45496398,85731226
GP-GM,Yes,45496398,85731227
PT,Yes,45496400,85731228
SM,Yes,45496401,85731229
SM,Yes,45496402,85731230
GM,No ,45496403,85731231
SM,No ,45496403,85731232
SC-SM,No ,45496403,85731233
GC-GM,Yes,45496403,85731234
GM,No ,45496404,85731235
SC-SM,No ,45496404,85731236
GC-GM,Yes,45496404,85731237
SM,No ,45496404,85731238
GC,No ,45496405,85731239
GW-GC,Yes,45496405,85731240
GC,No ,45496406,85731241
GW-GC,Yes,45496406,85731242
PT,Yes,45496407,85731243
GM,No ,45496409,85731244
