aashtocl,rvindicator,chkey,chaashtokey
A-6,No ,42894696,70099654
A-7-6,Yes,42894696,70099655
A-6,Yes,42894698,70099656
A-6,Yes,42894699,70099657
A-7-6,Yes,42894700,70099658
A-6,Yes,42894702,70099659
A-6,Yes,42894703,70099660
A-7-6,Yes,42894704,70099661
A-6,Yes,42894706,70099662
A-6,No ,42894707,70099663
A-7-6,Yes,42894707,70099664
A-4,Yes,42894722,70099680
A-4,Yes,42894723,70099681
A-6,No ,42894723,70099682
A-2-4,Yes,42894724,70099683
A-4,No ,42894724,70099684
A-1,Yes,42894728,70099688
A-2,No ,42894728,70099689
A-1,Yes,42894729,70099690
A-2,No ,42894729,70099691
A-1,No ,42894730,70099692
A-2,No ,42894730,70099693
A-3,Yes,42894730,70099694
A-6,Yes,42894731,70099695
A-4,Yes,42894732,70099696
A-4,Yes,42894733,70099697
A-2,No ,42894739,70099705
A-4,Yes,42894739,70099706
A-4,No ,42894740,70099707
A-1-b,Yes,42894740,70099708
A-2,No ,42894740,70099709
A-1-a,Yes,42894741,70099710
A-6,Yes,42894742,70099711
A-7-6,Yes,42894743,70099712
A-6,No ,42894744,70099713
A-7-6,Yes,42894744,70099714
A-2-4,Yes,42894746,70099715
A-4,No ,42894746,70099716
A-2-4,Yes,42894747,70099717
A-1,No ,42894747,70099718
A-1-b,Yes,42894748,70099719
A-2,No ,42894748,70099720
A-2-4,Yes,42894749,70099721
A-4,No ,42894749,70099722
A-2-4,Yes,42894750,70099723
A-1,No ,42894750,70099724
A-1-b,Yes,42894751,70099725
A-2,No ,42894751,70099726
A-2-4,Yes,42894752,70099727
A-4,No ,42894752,70099728
A-2-4,Yes,42894753,70099729
A-1,No ,42894753,70099730
A-1-b,Yes,42894754,70099731
A-2,No ,42894754,70099732
A-4,Yes,42894755,70099733
A-6,No ,42894755,70099734
A-2-4,Yes,42894756,70099735
A-4,No ,42894756,70099736
A-2-4,Yes,42894758,70099737
A-4,No ,42894758,70099738
A-2-4,Yes,42894811,70099826
A-4,No ,42894811,70099827
A-2-4,Yes,42894812,70099828
A-4,No ,42894812,70099829
A-2-4,Yes,42894815,70099830
A-2-4,Yes,42894816,70099831
A-4,No ,42894816,70099832
A-2-4,Yes,42894817,70099833
A-1,No ,42894817,70099834
A-2-4,Yes,42894818,70099835
A-4,No ,42894818,70099836
A-2-4,Yes,42894819,70099837
A-4,No ,42894819,70099838
A-2-4,Yes,42894820,70099839
A-1,No ,42894820,70099840
A-2-4,Yes,42894821,70099841
A-4,Yes,42894822,70099842
A-6,Yes,42894823,70099843
A-6,Yes,42894824,70099844
A-4,Yes,42894825,70099845
A-4,Yes,42894826,70099846
A-4,Yes,42894827,70099847
A-4,Yes,42894828,70099848
A-4,Yes,42894829,70099849
A-2-4,Yes,42894830,70099850
A-2-4,Yes,42894831,70099851
A-3,Yes,42894832,70099852
A-6,Yes,42894960,70100005
A-7-6,Yes,42894961,70100006
A-6,No ,42894961,70100007
A-6,Yes,42894962,70100008
A-7-6,Yes,42894963,70100009
A-4,Yes,42894964,70100010
A-6,Yes,42894965,70100011
A-7-6,Yes,42894966,70100012
A-6,No ,42894966,70100013
A-7-6,Yes,42894967,70100014
A-6,No ,42894967,70100015
A-7-6,No ,42894968,70100016
A-6,Yes,42894968,70100017
A-6,Yes,42894969,70100018
A-4,Yes,42894970,70100019
A-6,Yes,42894971,70100020
A-6,Yes,42894972,70100021
A-6,Yes,42894987,70100045
A-7-6,Yes,42894988,70100046
A-6,No ,42894988,70100047
A-7-6,No ,42894989,70100048
A-6,Yes,42894989,70100049
A-7-6,Yes,42894990,70100050
A-6,No ,42894990,70100051
A-6,Yes,42894991,70100052
A-4,Yes,42894992,70100053
A-6,Yes,42894993,70100054
A-4,Yes,42894994,70100055
A-2-4,Yes,42894995,70100056
A-4,No ,42894995,70100057
A-6,Yes,42894996,70100058
A-6,Yes,42894997,70100059
A-6,Yes,42894998,70100060
A-6,Yes,42894999,70100061
A-6,Yes,42895000,70100062
A-6,Yes,42895001,70100063
A-4,Yes,42895002,70100064
A-6,No ,42895002,70100065
A-7-6,Yes,42895003,70100066
A-6,No ,42895003,70100067
A-7-6,No ,42895004,70100068
