comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
NA,10,NA,Truckton,Series,No ,,,3,4,5,49,55,61,Negligible,5,86,3,,Crop cover,Close-grown crop,,No,Well drained,1920,2011,2072,0,NA,360,"foothills, interfluves",NA,0.23,NA,7.8,8.3,10,330,432,483,NA,NA,NA,125,135,140,6,e,NA,3,e,NA,NA,,NA,900,1600,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Moderate,0,0,0,0,0,0,A,Low,Low,"Coarse-loamy, mixed, superactive, mesic Aridic Argiustolls",Mollisols,Ustolls,Argiustolls,Aridic Argiustolls,coarse-loamy,not used,superactive,not used,mesic,Aridic (torric),mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95370,14875542
NA,5,NA,Yoder,Series,No ,,,3,4,5,49,55,61,Low,2,56,5,,Crop cover,Close-grown crop,,No,Somewhat excessively drained,1920,2011,2072,0,NA,360,alluvial fans on foothills,NA,0.23,NA,7.8,8.3,10,330,432,483,NA,NA,NA,125,135,140,7,s,NA,3,e,NA,NA,,NA,600,850,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Moderate,0,0,0,0,0,0,B,Low,High,"Fine-loamy over sandy or sandy-skeletal, mixed, superactive, mesic Ustic Haplargids",Aridisols,Argids,Haplargids,Ustic Haplargids,fine-loamy over sandy or sandy-skeletal,not used,superactive,not used,mesic,Ustic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95370,14875543
NA,85,NA,Bresser,Series,Yes,,cool,5,7,9,38,43,49,Medium,3,86,3,,Grass/herbaceous cover,Other grass/herbaceous cover,,No,Well drained,1676,1920,2121,0,NA,360,"foothills, interfluves",NA,0.23,NA,9,10,11,381,432,483,NA,NA,NA,100,125,130,4,e,NA,4,e,NA,NA,,NA,900,1600,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Moderate,0,0,0,0,0,0,B,Low,Low,"Fine-loamy, mixed, superactive, mesic Aridic Argiustolls",Mollisols,Ustolls,Argiustolls,Aridic Argiustolls,fine-loamy,not used,superactive,not used,mesic,Aridic (torric),mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95371,14875544
NA,5,NA,Truckton,Series,No ,,,5,7,9,38,43,49,Very low,5,86,3,,Grass/herbaceous cover,Other grass/herbaceous cover,,No,Well drained,1676,1920,2121,0,NA,360,"foothills, interfluves",NA,0.23,NA,9,10,11,381,432,483,NA,NA,NA,100,125,130,6,e,NA,6,e,NA,NA,,NA,900,1600,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Moderate,0,0,0,0,0,0,A,Low,Low,"Coarse-loamy, mixed, superactive, mesic Aridic Argiustolls",Mollisols,Ustolls,Argiustolls,Aridic Argiustolls,coarse-loamy,not used,superactive,not used,mesic,Aridic (torric),mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95371,14875545
NA,10,NA,Ascalon,Series,No ,,,5,7,9,38,43,49,Medium,4,86,3,,Grass/herbaceous cover,Other grass/herbaceous cover,,No,Well drained,1676,1920,2121,0,NA,360,interfluves on foothills,NA,0.23,NA,9,10,11,381,432,483,NA,NA,NA,100,125,130,4,e,NA,4,e,NA,NA,,NA,900,1600,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Moderate,0,0,0,0,0,0,B,Low,Low,"Fine-loamy, mixed, superactive, mesic Aridic Argiustolls",Mollisols,Ustolls,Argiustolls,Aridic Argiustolls,fine-loamy,not used,superactive,not used,mesic,Aridic (torric),mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95371,14875546
NA,85,NA,Chaseville,Series,Yes,,,1,5,8,NA,NA,NA,Low,2,86,3,,,,,No,Somewhat excessively drained,1859,1996,2134,85,154,223,"alluvial fans, hills, terraces",NA,0.16,NA,7.8,8.3,8.9,406,432,457,NA,NA,NA,125,135,145,6,e,NA,NA,,NA,NA,,NA,700,900,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Low,0,0,0,NA,NA,NA,A,Low,Low,"Sandy-skeletal, mixed, mesic Torriorthentic Haplustolls",Mollisols,Ustolls,Haplustolls,Torriorthentic Haplustolls,sandy-skeletal,,,not used,mesic,Aridic (torric),mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95374,14875551
NA,NA,NA,Other soils,,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,No,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95374,14875552
NA,NA,NA,Pleasant,,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,Yes,,NA,NA,NA,NA,NA,NA,depressions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95374,14875553
NA,85,NA,Chaseville,Series,Yes,,,8,24,40,NA,NA,NA,Medium,2,86,3,,,,,No,Somewhat excessively drained,1859,1996,2134,29,96,162,"alluvial fans, hills, terraces",NA,0.16,NA,7.8,8.3,8.9,406,432,457,NA,NA,NA,125,135,145,6,e,NA,NA,,NA,NA,,NA,700,900,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Low,0,0,0,NA,NA,NA,A,Low,Low,"Sandy-skeletal, mixed, mesic Torriorthentic Haplustolls",Mollisols,Ustolls,Haplustolls,Torriorthentic Haplustolls,sandy-skeletal,,,not used,mesic,Aridic (torric),mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95375,14875554
NA,NA,NA,Other soils,,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,No,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95375,14875555
NA,70,NA,Chaseville,Series,Yes,,,8,29,50,NA,NA,NA,Medium,2,86,3,,,,,No,Somewhat excessively drained,1859,1996,2134,49,145,241,"breaks, hills, hills",NA,0.16,NA,7.8,8.3,8.9,406,432,457,NA,NA,NA,125,135,145,6,e,NA,NA,,NA,NA,,NA,700,900,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Low,0,0,0,NA,NA,NA,A,Low,Low,"Sandy-skeletal, mixed, mesic Torriorthentic Haplustolls",Mollisols,Ustolls,Haplustolls,Torriorthentic Haplustolls,sandy-skeletal,,,not used,mesic,Aridic (torric),mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95376,14875556
