desgnsuffix,chkey,chdesgnsfxkey
i,42963109,16118555
i,42963113,16118556
i,42963117,16118557
i,42963500,16118713
i,42963503,16118931
i,42963939,16118543
i,42964008,16118546
i,42964012,16118547
i,42964016,16118548
i,42964020,16118549
