comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
NA,85,NA,Pengra,Series,Yes,,,1,3,4,NA,NA,NA,,4,48,6,NA,,,Wooded under natural conditions,Yes,Somewhat poorly drained,107,206,305,NA,NA,NA,"fans, hills",0.23,0.23,0.23,11,12,12,1016,1270,1524,NA,NA,NA,165,188,210,3,w,NA,3,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,D,Moderate,High,"Fine-silty over clayey, mixed, mesic Typic Haplaquolls",Mollisols,Aquolls,Haplaquolls,Typic Haplaquolls,fine-silty over clayey,,,not used,mesic,Typic,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62572,14896869
NA,3,NA,Courtney,Series,No ,,,0,2,3,NA,NA,NA,,3,38,7,NA,,,Wooded under natural conditions,Yes,Poorly drained,53,149,244,NA,NA,NA,depressions,0.16,0.16,0.23,10,11,12,1016,1270,1524,NA,NA,NA,165,188,210,4,w,NA,4,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,D,Moderate,Moderate,"Fine, smectitic, mesic Abruptic Argiaquolls",Mollisols,Aquolls,Argiaquolls,Abruptic Argiaquolls,fine,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62572,14896870
NA,3,NA,Natroy,Series,No ,,,0,1,2,NA,NA,NA,,5,86,4,NA,,,Farmable under natural conditions,Yes,Poorly drained,91,198,305,NA,NA,NA,terraces,0.09,0.16,0.16,10,12,13,762,1143,1524,NA,NA,NA,160,198,235,4,w,NA,4,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,D,Moderate,Moderate,"Very-fine, smectitic, mesic Aquic Chromoxererts",Vertisols,Xererts,Chromoxererts,Aquic Chromoxererts,very-fine,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62572,14896871
NA,3,NA,Panther,Series,No ,,,2,7,12,NA,NA,NA,,4,38,7,NA,,,Wooded under natural conditions,Yes,Poorly drained,61,336,610,NA,NA,NA,swales,0.09,0.09,0.09,10,12,13,762,1143,1524,NA,NA,NA,160,198,235,6,w,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,D,High,High,"Very-fine, smectitic, mesic Typic Haplaquolls",Mollisols,Aquolls,Haplaquolls,Typic Haplaquolls,very-fine,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62572,14896872
NA,60,NA,Pengra,Series,Yes,,,1,3,4,NA,NA,NA,,4,48,6,NA,,,Wooded under natural conditions,Yes,Somewhat poorly drained,107,176,244,NA,NA,NA,"fans, hills",0.23,0.23,0.23,11,12,12,1016,1270,1524,NA,NA,NA,165,188,210,3,w,NA,3,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,D,Moderate,High,"Fine-silty over clayey, mixed, mesic Typic Haplaquolls",Mollisols,Aquolls,Haplaquolls,Typic Haplaquolls,fine-silty over clayey,,,not used,mesic,Typic,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62573,14896873
NA,25,NA,Urban land,Miscellaneous area,Yes,,,1,3,4,NA,NA,NA,,NA,NA,NA,NA,,,,No,,107,176,244,NA,NA,NA,,NA,NA,NA,11,12,12,1016,1270,1524,NA,NA,NA,165,188,210,8,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,0,0,0,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62573,14896874
NA,4,NA,Natroy,Series,No ,,,0,1,2,NA,NA,NA,,5,38,7,NA,,,Farmable under natural conditions,Yes,Poorly drained,91,198,305,NA,NA,NA,terraces,0.09,0.16,0.16,10,12,13,762,1143,1524,NA,NA,NA,160,198,235,4,w,NA,4,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,D,Moderate,Moderate,"Very-fine, smectitic, mesic Aquic Chromoxererts",Vertisols,Xererts,Chromoxererts,Aquic Chromoxererts,very-fine,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62573,14896875
NA,3,NA,Panther,Series,No ,,,2,7,12,NA,NA,NA,,4,38,7,NA,,,Wooded under natural conditions,Yes,Poorly drained,61,336,610,NA,NA,NA,swales,0.09,0.09,0.09,10,12,13,762,1143,1524,NA,NA,NA,160,198,235,6,w,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,D,High,High,"Very-fine, smectitic, mesic Typic Haplaquolls",Mollisols,Aquolls,Haplaquolls,Typic Haplaquolls,very-fine,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62573,14896876
NA,85,NA,Philomath,Series,Yes,,,3,8,12,NA,NA,NA,,2,86,4,NA,,,,No,Well drained,107,267,427,158,315,113,hills,0.09,0.09,0.09,11,12,12,1016,1270,1524,NA,NA,NA,165,188,210,6,e,NA,6,e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,D,Low,High,"Clayey, smectitic, mesic, shallow Vertic Haploxerolls",Mollisols,Xerolls,Haploxerolls,Vertic Haploxerolls,clayey,,,not used,mesic,Typic,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62574,14896877
NA,85,NA,Philomath,Series,Yes,,,3,8,12,NA,NA,NA,,2,56,5,NA,,,,No,Well drained,107,267,427,68,203,338,hills,0.09,0.09,0.09,11,12,12,1016,1270,1524,NA,NA,NA,165,188,210,6,s,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,D,Low,High,"Clayey, smectitic, mesic, shallow Vertic Haploxerolls",Mollisols,Xerolls,Haploxerolls,Vertic Haploxerolls,clayey,,,not used,mesic,Typic,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62575,14896878
NA,4,NA,Panther,Series,No ,,,2,7,12,NA,NA,NA,,4,38,7,NA,,,Wooded under natural conditions,Yes,Poorly drained,61,336,610,NA,NA,NA,swales,0.09,0.09,0.09,10,12,13,762,1143,1524,NA,NA,NA,160,198,235,6,w,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,D,High,High,"Very-fine, smectitic, mesic Typic Haplaquolls",Mollisols,Aquolls,Haplaquolls,Typic Haplaquolls,very-fine,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62575,14896879
NA,85,NA,Philomath,Series,Yes,,,12,29,45,NA,NA,NA,,2,56,5,NA,,,,No,Well drained,107,267,427,68,180,293,hills,0.09,0.09,0.09,11,12,12,1016,1270,1524,NA,NA,NA,165,188,210,6,s,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,D,Low,High,"Clayey, smectitic, mesic, shallow Vertic Haploxerolls",Mollisols,Xerolls,Haploxerolls,Vertic Haploxerolls,clayey,,,not used,mesic,Typic,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62576,14896880
NA,60,NA,Philomath,Series,Yes,,,12,29,45,NA,NA,NA,,2,56,5,NA,,,,No,Well drained,107,237,366,158,248,338,hills,0.09,0.09,0.09,11,12,12,1016,1270,1524,NA,NA,NA,160,198,235,6,s,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,D,Low,High,"Clayey, smectitic, mesic, shallow Vertic Haploxerolls",Mollisols,Xerolls,Haploxerolls,Vertic Haploxerolls,clayey,,,not used,mesic,Typic,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62577,14896881
NA,25,NA,Urban land,Miscellaneous area,Yes,,,12,29,45,NA,NA,NA,,NA,NA,NA,NA,,,,No,,107,237,366,NA,NA,NA,,NA,NA,NA,11,12,12,1016,1270,1524,NA,NA,NA,NA,NA,NA,8,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,0,0,0,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62577,14896882
NA,100,NA,Pits,Miscellaneous area,Yes,,,0,2,3,NA,NA,NA,,NA,NA,NA,NA,,,,No,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,0,0,0,0,0,0,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62578,14896883
NA,85,NA,Ritner,Series,Yes,NORTH,,2,7,12,NA,NA,NA,,2,38,7,NA,,,,No,Well drained,122,336,549,NA,NA,NA,hills,0.09,0.16,0.16,10,11,12,1016,1270,1524,NA,NA,NA,165,188,210,4,s,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,C,Moderate,High,"Clayey-skeletal, mixed, superactive, mesic Typic Haploxerepts",Inceptisols,Xerepts,Haploxerepts,Typic Haploxerepts,clayey-skeletal,,superactive,not used,mesic,Typic,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62582,14896889
NA,85,NA,Ritner,Series,Yes,NORTH,,12,21,30,NA,NA,NA,,2,38,7,NA,,,,No,Well drained,122,336,549,68,180,293,hills,0.09,0.16,0.16,10,11,12,1016,1270,1524,NA,NA,NA,165,188,210,6,s,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0,0,0,NA,NA,NA,C,Moderate,High,"Clayey-skeletal, mixed, superactive, mesic Typic Haploxerepts",Inceptisols,Xerepts,Haploxerepts,Typic Haploxerepts,clayey-skeletal,,superactive,not used,mesic,Typic,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,62583,14896890
